mileage	year	price	tax	mpg	engineSize	used_car_status
1573	2017	12500	150	55.4	1.4	1
3620	2016	16500	20	64.2	2.0	1
2994	2016	11000	30	55.4	1.4	1
2595	2017	16800	145	67.3	2.0	1
1999	2019	17300	145	49.6	1.0	0
3226	2016	13900	30	58.9	1.4	1
7678	2016	13250	30	61.4	2.0	1
7518	2016	11750	20	70.6	2.0	1
4611	2015	10200	20	60.1	1.4	1
2245	2016	12000	30	55.4	1.4	1
2895	2017	16100	145	58.9	1.4	1
5219	2016	16500	125	57.6	2.0	1
4491	2016	17000	145	52.3	2.0	1
2169	2017	16400	30	58.9	1.4	1
4734	2015	15400	30	61.4	2.0	1
2615	2017	14500	145	58.9	1.4	1
2839	2016	15700	145	53.3	2.0	1
3051	2014	13900	30	56.5	1.4	1
3765	2016	19000	200	47.1	2.0	1
3411	2014	17000	145	47.9	1.4	1
3710	2017	17300	145	67.3	2.0	1
2371	2016	20200	200	47.1	2.0	1
2164	2017	22500	145	58.9	3.0	1
6274	2015	17500	150	53.3	3.0	1
2378	2016	20000	200	47.1	2.0	1
10418	2017	18500	145	62.8	2.0	1
3330	2017	19500	145	61.4	2.0	1
10793	2018	15800	145	56.5	1.4	1
2513	2018	17200	145	70.6	2.0	1
6117	2015	14000	30	62.8	2.0	1
5475	2015	9500	33	76.3	1.6	1
2136	2017	16500	125	51.4	1.4	1
3919	2014	15000	205	47.9	2.0	1
4748	2017	16000	150	47.9	1.4	1
4050	2016	16900	150	51.4	2.0	1
4319	2014	12300	200	47.9	2.0	1
3144	2017	10800	145	67.3	1.0	1
3403	2016	19400	125	58.9	2.0	1
2906	2017	16000	145	70.6	2.0	1
2954	2017	17100	145	65.7	2.0	1
7561	2015	11300	20	68.9	2.0	1
3960	2016	17200	160	50.4	2.0	1
4290	2017	20300	145	51.4	2.0	1
8387	2014	13200	125	58.9	2.0	1
5875	2016	15200	145	47.9	1.4	1
2002	2019	15700	145	49.6	1.0	0
2295	2018	16600	145	50.4	1.8	1
3209	2017	14400	145	72.4	2.0	1
1305	2017	20200	145	53.3	2.0	0
2027	2017	23700	145	38.7	3.0	1
